1	1.8985958297	0.2784325226
2	1.8113310494	0.2579978318
3	1.7876754855	0.2522886847
4	1.7324600569	0.2386632304
5	1.7390678175	0.2403165183
6	1.7145250766	0.2341438415
7	1.7004744804	0.2305701187
8	1.7505354275	0.2431709045
9	1.8062364002	0.2567745901
10	1.6765613815	0.2244194582
11	1.7172982713	0.2348457327
12	1.7182543732	0.2350874579
13	1.7783010636	0.2500052882
14	1.7951371908	0.2540976445
15	1.7368933394	0.2397731498
16	1.7204355898	0.2356384180
17	1.5816492852	0.1991101894
18	1.4651005552	0.1658674329
19	1.4401788167	0.1584164187
20	1.2247101607	0.0880333209
21	1.2089310744	0.0824015408
22	1.1505195518	0.0608940034
23	1.1166175701	0.0479044572
24	1.1796873588	0.0717669257
25	1.1982499885	0.0785474335
26	1.2077551575	0.0819789007
27	1.2612500211	0.1008011865
28	1.2905961863	0.1107903774
29	1.3120404198	0.1179472145
30	1.3200137808	0.1205784652
31	1.3328767735	0.1247900001
32	1.3154529466	0.1190753181
33	1.1751853396	0.0701063650
34	1.0327276144	0.0139857899
35	1.0227152029	0.0097547119
36	1.0188584481	0.0081138509
37	1.0509964548	0.0216012511
38	1.0595770524	0.0251325441
39	0.9790025738	-0.0092161665
40	0.9492734821	-0.0226086509
41	0.9514718483	-0.0216040569
42	0.9786173015	-0.0093871104
43	0.9787774209	-0.0093160578
44	0.9210220400	-0.0357299770
45	0.8828475671	-0.0541142755
46	0.8735067589	-0.0587337303
47	0.8538808056	-0.0686027489
48	0.8337718699	-0.0789527613
49	0.8350548504	-0.0782849970
50	0.8437728270	-0.0737744648
