1	2.9826942717
2	3.1138842127
3	3.7090378593
4	4.0394396996
5	4.3037590667
6	4.4342505401
7	4.6820846825
8	4.8737546004
9	5.0795643971
10	5.1664201218
11	5.2444978351
12	5.3758611490
13	5.4514415195
14	5.5203977911
15	5.6213333396
16	5.7315470331
17	5.7871660099
18	5.8522369251
19	5.8890101588
20	5.9246508620
21	5.9436542056
22	5.9852912024
23	6.0051895464
24	6.0084226380
25	6.0151788059
26	6.0193411407
27	6.0206866396
28	6.0234420185
29	6.0247842217
30	6.0271974454
31	6.0278659574
32	6.0303983028
33	6.0308461887
34	6.0314079568
35	6.0334618619
36	6.0342964805
37	6.0345601673
38	6.0352487559
39	6.0357047213
40	6.0359570338
41	6.0360140489
42	6.0362167652
43	6.0364632888
44	6.0365748633
45	6.0366789811
46	6.0369094381
47	6.0370459180
48	6.0370993911
49	6.0371751094
50	6.0371824866
