1	0.0211151797
2	0.0405553687
3	0.0218815543
4	0.0207016498
5	0.0287286778
6	0.0151356154
7	0.0181499613
8	0.0351970225
9	0.0241175309
10	0.0156565328
11	0.0198254681
12	0.0146601562
13	0.0121175068
14	0.0127655055
15	0.0121184654
16	0.0313577602
17	0.0103955800
18	0.0090229677
19	0.0097434446
20	0.0079908341
21	0.0073943057
22	0.0084889211
23	0.0079247846
24	0.0076282539
25	0.0075122669
26	0.0069406363
27	0.0064534131
28	0.0062752244
29	0.0062254851
30	0.0064208260
31	0.0062859118
32	0.0060532014
33	0.0060573094
34	0.0059569101
35	0.0060381765
36	0.0058480620
37	0.0058779494
38	0.0062117055
39	0.0061203236
40	0.0059612617
41	0.0059665058
42	0.0058973981
43	0.0057952793
44	0.0057747035
45	0.0057801035
46	0.0057284471
47	0.0057014585
48	0.0056485730
49	0.0056090596
50	0.0056020710
